epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_group:4,loss_group:5,loss_group:6,loss_group:7,loss_group:8,loss_group:9,loss_group:10,loss_group:11,loss_group:12,loss_group:13,loss_group:14,loss_group:15,loss_group:16,loss_group:17,loss_group:18,loss_group:19,loss_group:20,loss_group:21,loss_group:22,loss_group:23,loss_group:24,loss_group:25,loss_group:26,loss_group:27,loss_group:28,loss_group:29,loss_group:30,loss_group:31,loss_group:32,loss_group:33,loss_group:34,loss_group:35,loss_group:36,loss_group:37,loss_group:38,loss_group:39,loss_group:40,loss_group:41,loss_group:42,loss_group:43,loss_group:44,loss_group:45,loss_group:46,loss_group:47,loss_group:48,loss_group:49,loss_group:50,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_group:4,acc_group:5,acc_group:6,acc_group:7,acc_group:8,acc_group:9,acc_group:10,acc_group:11,acc_group:12,acc_group:13,acc_group:14,acc_group:15,acc_group:16,acc_group:17,acc_group:18,acc_group:19,acc_group:20,acc_group:21,acc_group:22,acc_group:23,acc_group:24,acc_group:25,acc_group:26,acc_group:27,acc_group:28,acc_group:29,acc_group:30,acc_group:31,acc_group:32,acc_group:33,acc_group:34,acc_group:35,acc_group:36,acc_group:37,acc_group:38,acc_group:39,acc_group:40,acc_group:41,acc_group:42,acc_group:43,acc_group:44,acc_group:45,acc_group:46,acc_group:47,acc_group:48,acc_group:49,acc_group:50,acc_avg,objective,count_group:0,count_group:1,count_group:2,count_group:3,count_group:4,count_group:5,count_group:6,count_group:7,count_group:8,count_group:9,count_group:10,count_group:11,count_group:12,count_group:13,count_group:14,count_group:15,count_group:16,count_group:17,count_group:18,count_group:19,count_group:20,count_group:21,count_group:22,count_group:23,count_group:24,count_group:25,count_group:26,count_group:27,count_group:28,count_group:29,count_group:30,count_group:31,count_group:32,count_group:33,count_group:34,count_group:35,count_group:36,count_group:37,count_group:38,count_group:39,count_group:40,count_group:41,count_group:42,count_group:43,count_group:44,count_group:45,count_group:46,count_group:47,count_group:48,count_group:49,count_group:50,count
0,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.080451011657715,7.086447715759277,7.106108665466309,7.10582160949707,7.062216758728027,7.086202144622803,7.032445907592773,7.161098480224609,7.053200721740723,7.11498498916626,7.077908515930176,7.079736709594727,7.156493186950684,7.060894966125488,7.1066107749938965,7.112027168273926,7.066854953765869,7.086723804473877,7.1440749168396,7.092422962188721,7.118393421173096,7.072812080383301,7.035847187042236,7.039078712463379,7.103146076202393,7.035768032073975,7.120155334472656,7.097581386566162,7.079952716827393,7.120795726776123,7.0819292068481445,7.08226203918457,7.126986503601074,7.088887926746857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004923682951504583,7.088887926746857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,78.0,56.0,82.0,61.0,86.0,51.0,63.0,62.0,56.0,51.0,67.0,64.0,63.0,59.0,67.0,69.0,61.0,55.0,50.0,60.0,65.0,64.0,70.0,63.0,52.0,65.0,54.0,52.0,61.0,53.0,59.0,2031
1,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.019260406494141,7.044140338897705,7.025376319885254,7.022691249847412,6.995508670806885,7.016941547393799,6.9755988121032715,7.0880866050720215,7.034849643707275,7.0790910720825195,7.017679214477539,7.070319175720215,7.116814136505127,7.041051864624023,7.051120758056641,7.081968784332275,7.022858619689941,7.038125038146973,7.077234268188477,7.031108856201172,7.081383228302002,7.034646987915039,7.024118423461914,6.975972652435303,7.07991886138916,6.980757713317871,7.0757155418396,7.041799068450928,7.021017074584961,7.061920642852783,7.017171859741211,7.029628276824951,7.046693325042725,7.038255001276601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181574344635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009847365903009166,7.038255001276601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,78.0,56.0,82.0,61.0,86.0,51.0,63.0,62.0,56.0,51.0,67.0,64.0,63.0,59.0,67.0,69.0,61.0,55.0,50.0,60.0,65.0,64.0,70.0,63.0,52.0,65.0,54.0,52.0,61.0,53.0,59.0,2031
2,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.971998691558838,6.961482524871826,6.929250240325928,6.946630001068115,6.893621444702148,6.944856643676758,6.906595706939697,7.013375282287598,6.908594608306885,6.978710651397705,6.923502445220947,6.962850093841553,6.99702787399292,6.897803783416748,6.990902423858643,6.990984916687012,6.900981903076172,6.939403533935547,7.022747039794922,6.97655725479126,6.9997148513793945,6.907658100128174,6.927402496337891,6.9230194091796875,7.016302585601807,6.870380401611328,6.993299961090088,6.967584133148193,6.9685797691345215,6.958233833312988,6.956486225128174,6.9661664962768555,6.982961177825928,6.951972772663064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.012195121496915817,0.016393443569540977,0.0,0.019607843831181526,0.01587301306426525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001969473180601833,6.951972772663064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,78.0,56.0,82.0,61.0,86.0,51.0,63.0,62.0,56.0,51.0,67.0,64.0,63.0,59.0,67.0,69.0,61.0,55.0,50.0,60.0,65.0,64.0,70.0,63.0,52.0,65.0,54.0,52.0,61.0,53.0,59.0,2031
3,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.8584980964660645,6.850475788116455,6.7936296463012695,6.808859825134277,6.757697105407715,6.81978702545166,6.8000054359436035,6.905079364776611,6.78696870803833,6.911785125732422,6.8492560386657715,6.837678909301758,6.900110244750977,6.793743133544922,6.887969017028809,6.874412536621094,6.774681091308594,6.8372392654418945,6.860805034637451,6.8458662033081055,6.858512878417969,6.775382995605469,6.802428722381592,6.848199367523193,6.869143009185791,6.766628265380859,6.884054183959961,6.843305587768555,6.874032020568848,6.857882976531982,6.836996555328369,6.8505659103393555,6.847933769226074,6.835785713646576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.012820512056350708,0.0,0.012195121496915817,0.0,0.011627905070781708,0.019607841968536377,0.0,0.0,0.0,0.0,0.0,0.0,0.0158730149269104,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666381061077,0.0,0.015625,0.02857143059372902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004431314722385856,6.835785713646576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,78.0,56.0,82.0,61.0,86.0,51.0,63.0,62.0,56.0,51.0,67.0,64.0,63.0,59.0,67.0,69.0,61.0,55.0,50.0,60.0,65.0,64.0,70.0,63.0,52.0,65.0,54.0,52.0,61.0,53.0,59.0,2031
